event_type,timestamp,note
FOMC,2025-01-29T19:00:00Z,FOMC meeting + statement
FOMC,2025-03-19T18:00:00Z,FOMC meeting + SEP
FOMC,2025-05-07T18:00:00Z,FOMC meeting + statement
FOMC,2025-06-18T18:00:00Z,FOMC meeting + SEP
FOMC,2025-07-30T18:00:00Z,FOMC meeting + statement
FOMC,2025-09-17T18:00:00Z,FOMC meeting + SEP
FOMC,2025-10-29T18:00:00Z,FOMC meeting + statement
FOMC,2025-12-10T19:00:00Z,FOMC meeting + SEP
FOMC,2026-01-28T19:00:00Z,FOMC meeting + statement
FOMC,2026-03-18T18:00:00Z,FOMC meeting + SEP
FOMC,2026-04-29T18:00:00Z,FOMC meeting + statement
FOMC,2026-06-17T18:00:00Z,FOMC meeting + SEP
FOMC,2026-07-29T18:00:00Z,FOMC meeting + statement
FOMC,2026-09-16T18:00:00Z,FOMC meeting + SEP
FOMC,2026-10-28T18:00:00Z,FOMC meeting + statement
FOMC,2026-12-09T19:00:00Z,FOMC meeting + SEP
CPI,2025-01-15T13:30:00Z,CPI release
CPI,2025-02-12T13:30:00Z,CPI release
CPI,2025-03-12T12:30:00Z,CPI release
CPI,2025-04-10T12:30:00Z,CPI release
CPI,2025-05-13T12:30:00Z,CPI release
CPI,2025-06-11T12:30:00Z,CPI release
CPI,2025-07-15T12:30:00Z,CPI release
CPI,2025-08-12T12:30:00Z,CPI release
CPI,2025-09-11T12:30:00Z,CPI release
CPI,2025-10-15T12:30:00Z,CPI release
CPI,2025-11-13T13:30:00Z,CPI release
CPI,2025-12-10T13:30:00Z,CPI release
CPI,2026-01-14T13:30:00Z,CPI release
CPI,2026-02-11T13:30:00Z,CPI release
CPI,2026-03-11T12:30:00Z,CPI release
CPI,2026-04-10T12:30:00Z,CPI release
CPI,2026-05-12T12:30:00Z,CPI release
CPI,2026-06-10T12:30:00Z,CPI release
CPI,2026-07-15T12:30:00Z,CPI release
CPI,2026-08-12T12:30:00Z,CPI release
NFP,2025-01-10T13:30:00Z,Nonfarm Payrolls release
NFP,2025-02-07T13:30:00Z,Nonfarm Payrolls release
NFP,2025-03-07T13:30:00Z,Nonfarm Payrolls release
NFP,2025-04-04T12:30:00Z,Nonfarm Payrolls release
NFP,2025-05-02T12:30:00Z,Nonfarm Payrolls release
NFP,2025-06-06T12:30:00Z,Nonfarm Payrolls release
NFP,2025-07-03T12:30:00Z,Nonfarm Payrolls release (early due to holiday)
NFP,2025-08-01T12:30:00Z,Nonfarm Payrolls release
NFP,2025-09-05T12:30:00Z,Nonfarm Payrolls release
NFP,2025-10-03T12:30:00Z,Nonfarm Payrolls release
NFP,2025-11-07T13:30:00Z,Nonfarm Payrolls release
NFP,2025-12-05T13:30:00Z,Nonfarm Payrolls release
NFP,2026-01-09T13:30:00Z,Nonfarm Payrolls release
NFP,2026-02-06T13:30:00Z,Nonfarm Payrolls release
NFP,2026-03-06T13:30:00Z,Nonfarm Payrolls release
NFP,2026-04-03T12:30:00Z,Nonfarm Payrolls release
NFP,2026-05-01T12:30:00Z,Nonfarm Payrolls release
NFP,2026-06-05T12:30:00Z,Nonfarm Payrolls release
NFP,2026-07-02T12:30:00Z,Nonfarm Payrolls release
NFP,2026-08-07T12:30:00Z,Nonfarm Payrolls release
OPEX,2025-01-17,Monthly equity options expiration
OPEX,2025-02-21,Monthly equity options expiration
OPEX,2025-03-21,Triple/Quad witching expiration
OPEX,2025-04-17,Monthly equity options expiration
OPEX,2025-05-16,Monthly equity options expiration
OPEX,2025-06-20,Triple/Quad witching expiration
OPEX,2025-07-18,Monthly equity options expiration
OPEX,2025-08-15,Monthly equity options expiration
OPEX,2025-09-19,Triple/Quad witching expiration
OPEX,2025-10-17,Monthly equity options expiration
OPEX,2025-11-21,Monthly equity options expiration
OPEX,2025-12-19,Triple/Quad witching expiration
OPEX,2026-01-16,Monthly equity options expiration
OPEX,2026-02-20,Monthly equity options expiration
OPEX,2026-03-20,Triple/Quad witching expiration
OPEX,2026-04-17,Monthly equity options expiration
OPEX,2026-05-15,Monthly equity options expiration
OPEX,2026-06-19,Triple/Quad witching expiration
OPEX,2026-07-17,Monthly equity options expiration
OPEX,2026-08-21,Monthly equity options expiration
OPEX,2026-09-18,Triple/Quad witching expiration
OPEX,2026-10-16,Monthly equity options expiration
OPEX,2026-11-20,Monthly equity options expiration
OPEX,2026-12-18,Triple/Quad witching expiration
